track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,key,mode,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent,cover_url,Popularity_Category
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,B,Major,80,89,83,31,0,8,4,Not Found,Popular
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,C#,Major,71,61,74,7,0,10,4,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,Popular
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,F,Major,51,32,53,17,0,31,6,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,Popular
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,A,Major,55,58,72,11,0,11,15,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Very Popular
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,A,Minor,65,23,80,14,63,11,6,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,Popular
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,C#,Major,92,66,58,19,0,8,24,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,Popular
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,F,Minor,67,83,76,48,0,8,3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,Very Popular
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,F,Major,67,26,71,37,0,11,4,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,Less Popular
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,C#,Minor,85,22,62,12,0,28,9,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,Less Popular
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,D,Minor,81,56,48,21,0,8,33,Not Found,Very Popular
